Theme,nexus,nexusCorrected
Achieving Zero Hunger,Food,Food
Agrobiodiversity,Biodiversity,Biodiversity
Agroecology,Biodiversity,Biodiversity
Aquatic / Blue Foods,Water,Water
Better Data,Other,Other
Climate and disasters Resilient Development Pathways (CRDP),Climate,Climate
Decent Work and Living Incomes and Wages for All Food Systems Workers,Food,Food
Different Forms of Malnutrition,Health,Health
Digital,Other,Other
Equitable Livelihoods,Other,Food
Family Farming,Food,Food
Finance and Investment,Other,Other
Food Loss and Waste,Food,Food
Food quality and safety,Food,Health
Food Systems for Women and Girls,Food,Food
Governance for sustainable food systems,Food,Food
Halting Deforestation & Conversion from Agricultural Commodities,Biodiversity,Biodiversity
Healthy Diets from Sustainable Food Systems for Children & All,Health,Health
Human Resource Capacities,Other,Other
Human Rights,Other,Other
Indigenous Peoples Food Systems,Food,Food
Infrastructure,Other,Other
Innovation and Knowledge,Other,Other
Land,Biodiversity,Biodiversity
Nature-Positive Innovation,Biodiversity,Biodiversity
Partnerships,Other,Other
Policy and Regulation,Other,Other
Public information,Other,Other
Resilience to Health Crises,Health,Health
Resilience to shocks and violent conflicts and food crisis,Other,Other
Resilience to Stress and Vulnerabilities,Health,Other
Resilient Food Supply Chains,Food,Food
Restoring grasslands and shrublands and savannahs,Biodiversity,Biodiversity
School Meals: Nutrition and Health and Education for Every Child,Food,Health
Social Protection for Food Systems Transformation,Food,Food
Soil Health,Biodiversity,Biodiversity
Sustainable Consumption,Food,Food
Sustainable Livestock,Food,Food
Sustainable Productivity Growth,Food,Food
The True Value of Food,Food,Food
Trade,Other,Other
Urban Food Systems,Food,Food
Vulnerable Peoples Food Systems,Food,Food
Water,Water,Water
Youth Food Systems,Food,Food
